Originated Stadtium,Destination Stadtium,Distance,,,
AT&T Park,SafeCo Field,680,,,
AT&T Park,Oakland Coliseum,50,,,
Angel Stadium  ,Petco Park,110,,,
Angel Stadium  ,Dodger Stadium,50,,,
Busch Stadium,Minute Maid Park,680,,,
Busch Stadium,Great America Ball Park,310,,,
Busch Stadium,Target Field,465,,,
Busch Stadium,Kauffman Stadium,235,,,
Chase Field,Coors Field,580,,,
Chase Field,Globe Life Park in Arlington,870,,,
Chase Field,Minute Maid Park,1115,,,
Chase Field,Oakland Coliseum,650,,,
Chase Field,Petco Park,300,,,
Citi Field,Fenway Park,195,,,
Citi Field,Yankee Stadium,50,,,
Citizens Bank Park,Yankee Stadium,80,,,
Citizens Bank Park,Oriole Park at Camden Yards,90,,,
Comerica Park,US Cellular Field,240,,,
Comerica Park,Rogers Centre,210,,,
Comerica Park,Progressive Field,90,,,
Coors Field,Kauffman Stadium,560,,,
Coors Field,Globe Life Park in Arlington,650,,,
Coors Field,Chase Field,580,,,
Coors Field,Petco Park,830,,,
Dodger Stadium,Angel Stadium of Anaheim,50,,,
Dodger Stadium,Target Field,1500,,,
Dodger Stadium,Oakland Coliseum,340,,,
Fenway Park,Citi Field,195,,,
Fenway Park,Marlins Park,1255,,,
Fenway Park,Rogers Centre,430,,,
Globe Life Park in Arlington,Chase Field,870,,,
Globe Life Park in Arlington,Kauffman Stadium,460,,,
Globe Life Park in Arlington,Sun Trust Park,740,,,
Globe Life Park in Arlington,Minute Maid Park,230,,,
Globe Life Park in Arlington,Coors Field,650,,,
Great America Ball Park,PNC Park,260,,,
Great America Ball Park,Progressive Field,225,,,
Great America Ball Park,US Cellular Field,250,,,
Great America Ball Park,Tropicana Field,790,,,
Great America Ball Park,Sun Trust Park,375,,,
Great America Ball Park,Busch Stadium,310,,,
Kauffman Stadium,Busch Stadium,235,,,
Kauffman Stadium,Globe Life Park in Arlington,460,,,
Kauffman Stadium,Wrigley Field,415,,,
Kauffman Stadium,Coors Field,560,,,
Marlins Park,Sun Trust Park,600,,,
Marlins Park,Tropicana Field,210,,,
Marlins Park,Nationals Park,930,,,
Marlins Park,Fenway Park,1255,,,
Marlins Park,Minute Maid Park,965,,,
Miller Park,Rogers Centre,430,,,
Miller Park,Wrigley Field,80,,,
Miller Park,Target Field,300,,,
Minute Maid Park,Globe Life Park in Arlington,230,,,
Minute Maid Park,Tropicana Field,790,,,
Minute Maid Park,Marlins Park,965,,,
Minute Maid Park,Busch Stadium,680,,,
Minute Maid Park,Chase Field,1115,,,
Nationals Park,Oriole Park at Camden Yards,50,,,
Nationals Park,PNC Park,195,,,
Nationals Park,Sun Trust Park,560,,,
Nationals Park,Marlins Park,930,,,
Oakland Coliseum,AT&T Park,50,,,
Oakland Coliseum,Dodger Stadium,340,,,
Oakland Coliseum,Chase Field,650,,,
Oriole Park at Camden Yards,Nationals Park,50,,,
Oriole Park at Camden Yards,Citizens Bank Park,90,,,
PNC Park,Nationals Park,195,,,
PNC Park,Rogers Centre,225,,,
PNC Park,Progressive Field,115,,,
PNC Park,Great America Ball Park,260,,,
PNC Park,Yankee Stadium,315,,,
Petco Park,Coors Field,830,,,
Petco Park,Chase Field,300,,,
Petco Park,Angel Stadium of Anaheim,110,,,
Progressive Field,PNC Park,115,,,
Progressive Field,Comerica Park,90,,,
Progressive Field,Great America Ball Park,225,,,
Rogers Centre,PNC Park,225,,,
Rogers Centre,Miller Park,430,,,
Rogers Centre,Comerica Park,210,,,
Rogers Centre,Fenway Park,430,,,
Rogers Centre,SafeCo Field,2070,,,
SafeCo Field,Rogers Centre,2070,,,
SafeCo Field,Target Field,1390,,,
SafeCo Field,AT&T Park,680,,,
Sun Trust Park,Great America Ball Park,375,,,
Sun Trust Park,Nationals Park,560,,,
Sun Trust Park,Marlins Park,600,,,
Sun Trust Park,Globe Life Park in Arlington,740,,,
Target Field,Dodger Stadium,1500,,,
Target Field,Busch Stadium,465,,,
Target Field,Miller Park,300,,,
Target Field,SafeCo Field,1390,,,
Tropicana Field,Great America Ball Park,790,,,
Tropicana Field,Marlins Park,210,,,
Tropicana Field,Minute Maid Park,790,,,
US Cellular Field,Comerica Park,240,,,
US Cellular Field,Great America Ball Park,250,,,
US Cellular Field,Wrigley Field,50,,,
Wrigley Field,US Cellular Field,50,,,
Wrigley Field,Miller Park,80,,,
Wrigley Field,Kauffman Stadium,415,,,
Yankee Stadium,PNC Park,315,,,
Yankee Stadium,Citizens Bank Park,80,,,
Yankee Stadium,Citi Field,50,,,
